text,label
Rakyat ga setuju IKN.yang setuju kang surpe,negative
"Bisa diselamatkan dengan cara MK mengambulkan permohonan judicial review the UU IKN, Pak De gak malu banget ketika IKN batal",negative
"Sebenarnya menunjukkan kekhawatiran dan kecemasan.. karena memang faktanya.. banyak yang tidak setuju pembangunan IKN.. dan membuktikan juga kalau rezim ini anti kritik, kebebasan berpendapat dibelenggu.. kalo ibu TNI/Polri berpendapatan spt itu adalah aspirasi masyarakat..",negative
"Lhooo ini ada dlm ritual IKN yg dgn Presiden dan Gubernur"" ???",negative
"Pejabat pemerintah Pusat yang sudah berada di IKN semoga gak kembali lagi (gak nyampe nyampe) ke Ibukota yang lama, Jakarta.

Mulailah kehidupan baru disana, konsisten dengan keputusan.",negative
"Adab cara minum air dari gelas pake tangan kiri, ngomongin hijrah apaan tdk nyambung, jauh api dari panggang, mmngnya ngurus pindah ikn tanpa duit, freeport harusnya gratis jd milik RI malah dibeli.....",negative
"Pak jokowi pasti berhasil menyelesaikan masa jabatannya selama 2 periode, udah cukup. Jgn sampai 3, karna kalau ada 3 pasti ada 4 dan 5 , sampai proyek pemindahan IKN selesai",negative
"Sy rasa gk perlu dilanjutin.
Otaknya yg perlu dipindahin mah bkn ikn",negative
"TRITURA 2022 :
1. Turunkan Harga kebutuhan Pangan dn Pendukung sektor Pangan (BBM, Tol, dll)
2. Hentikan Rencana IKN
3. Laksanakan Pemilu sesuai Konstitusi

MERDEKAAAA",negative
Kalau ada solusi emang bakal d denger?  pemerintah pasang kacamata kuda kok apalagi soal ngutang buat IKN pura2 buta pura2 budeg,negative
"satu hal juga
nyimak di media,
justru yg lbh menarik diangkat informasi dr sisi yg kontra IKN

bahkan kalau perlu pakai click bait",negative
"kasian banget panitia camping itu kena prank ,,wkwk(ketawa geli) 
Semoga semakin terbuka fikirnya semua bahwa proyek IKN itu juga sebuah Prank dari calo-calo proyek yang pengen dapet cuan banyak tapi boneka yang jadi samsak tinjunya.",negative
"Haadeeeuuuh...Eentee kbnykn Komen Brouw  coba itu JABAR dikasih Bagus  Biar Ada Perubahannya  baru deeh Eentee Ngoceeeh"" masalah IKN",negative
"Buset dah masih mikirin IKN, rakyat noh pada berantem rebutan minyak goreng pak",negative
"Gas naik, daging sapi naik, kedelai naik, minyak goreng ga naik tapi langka.

Proyek IKN jalan terus, entar negara juga dipindahkan ke planet lain...

Yuk dukung 15 periode !!",negative
"Alat negara apa alat presiden sih? 
Mbok ya ditampung dan dipertimbangkan suara dari manapun,knp smp ada yg menolak IKN tentulah niatnya jg untuk kebaikan bersama",negative
"Gara2 ikn baru harga minyak goreng menlonjak,,,,,membunuh keluarga tidak mampu, gaji buruh tidak naik,,,,menyiksa rakyat ikn pak jokowi",negative
"Namanya DPR itu Dewan Perwakilan Rakyat. Coba tanya rakyat langsung, apa setuju pindah IKN disaat pandemi gini?",negative
"Ngrepotin aja.
Sukanya kok mengadakan kegiatan yg gak berfaedah.
Knp tdk diadakan di  hotel di Samarinda atau Balikpapan.
Gak sabar menunggu IKN jadi?",negative
"Tanda alam IKN akan seperti Esemka,di banggakan tapi tak ada..",negative
"Mau ny kyk USA pny washington & new york..kyk australia pny cambera & sydney..indonesia pny ikN & jkrt
Kalian lupa indonesia negera kepulauan dg laut yg luas,SDA melimpah
Rakyat ny g perlu jd negara maju..rakyat ny cmn pgn jd negara makmur
D olah oleh kita tuk kita bkn tuk aseeng",negative
"Kekuasaan itu gurih Gus, apalagi kedepan masih ada project IKN.",negative
"wah gawat kalo IKN gagal,, bs makan tumbal",negative
"yang jelas kempingnya bukan type  anak gunung/pecinta alam

pencitraan bahwa ikn itu dekat dengan alam

jepang udah tauk poci-pocinya pakde, ikn dibiayai banyak negara, tapi nanti yg petik manfaat besar ya tiongkok

sama seperti kereta cepat, jepun gag mo ketipu 2x, sweet revenge",negative
"Lanjut trus Pak, bagi saya ngga' penting IKN baru. Lebih peka donk Pak sama kebutuhan dasar rakyat yang saat ini susah didapat. Anda dipilih oleh rakyat dan sekarang Anda meninggalkan rakyat yang sedang sudah dan lebih mementingkan hal-hal yang sebenarnya bisa ditunda",negative
IKN bukan sesuatu yg penting saat ini kecuali utk yg mau kejar kontrak2 proyek ..,negative
