text,label,text_clean
"Lho!!!! Dia Yg Minta IKN , Kok Otorita. Di Bebani!! Ya Modarlah?",negative,lho dia yg minta ikn kok otorita di bebani ya modarlah
Belum jadi kok sudah mau memindahkan ASN Pak? Yakin kalau IKN sdh jadi bapak masih jadi Menteri?,negative,belum jadi kok sudah mau memindahkan asn pak yakin kalau ikn sdh jadi bapak masih jadi menteri
"Sampai di IKN, asn nya mengeluh...oala disini baru seminggu kerja kena DBD, malaria ... gak biasa dengar suara monyet, ular dan kadang2 anak buaya didepan rumah...sabar ya asn",negative,sampai di ikn asn nya mengeluh oala disini baru seminggu kerja kena dbd malaria gak biasa dengar suara monyet ular dan kadang anak buaya didepan rumah sabar ya asn
"Emang ikn jadi kapan? Kayak dia masih menjabat aja, boro-boro masih ada",negative,emang ikn jadi kapan kayak dia masih menjabat aja boro-boro masih ada
"Tdk semudah itu ASN wajib pindah ke IKN tahun berapa. Investor nya jg kaboor. Blm jaminan kantor2 2024 siap
Sombong banget",negative,tdk semudah itu asn wajib pindah ke ikn tahun berapa investor nya jg kaboor blm jaminan kantor  siap sombong banget
Gak akan dapat IKN tak jelas.,negative,gak akan dapat ikn tak jelas
"Lu yakin IKN bakal mulus..?
Halu lu sama keq junjungan lu..",negative,lu yakin ikn bakal mulus halu lu sama keq junjungan lu
"Semoga hanya diberi angin Surga saja ..wkwkwkwkwk
Ambyaaaar itu proyect IKN kurang Dana...",negative,semoga hanya diberi angin surga saja wkwkwkwkwk ambyaaaar itu proyect ikn kurang dana
"pendukung IKN dan buzzerRp pasa pindah duluan dah sono. kantor PBNU ANSOR BANSER buruan hijrah. 
@PBNU_164",negative,pendukung ikn dan buzzerrp pasa pindah duluan dah sono kantor pbnu ansor banser buruan hijrah
"Kalau utk urusan rakyat mana mau Pmrnth berikan subsidi … tp kalau utk proyek inftastruktur, IKN, APBN siap digelontorkan.",negative,kalau utk urusan rakyat mana mau pmrnth berikan subsidi tp kalau utk proyek inftastruktur ikn apbn siap digelontorkan
Merehabilitasi hutan???.bukannya hutannya ditebang mau dijadikan IKN..,negative,merehabilitasi hutan bukannya hutannya ditebang mau dijadikan ikn
Rasa-rasanya IKN masih hutan aja si Tjahjo udah dikeluarin duluan sama Izro’il Prof…,negative,rasa-rasanya ikn masih hutan aja si tjahjo udah dikeluarin duluan sama izro il prof
