text,label
"Ikn yg d pikirin mll, minyak goreng 25 rbu bos",neutral
Pengaruh bohirnya belum dapat kesempatan untuk terlibat di proses proyek pembangunan IKN Nusantara tercinta,neutral
"Kalau saya sebut, Washington DC dan New York; Sidney dan Canberra; Jakarta dan IKN, kira2 sudah ada gambaran?",neutral
"Kita tunggu saja, para ASN yg keluar? Atau IKN apakah kelar? Alias dia yg malah keluar duluan?",neutral
Jadi ikn itu negara dalam negara ? Nya,neutral
dibalas sama FE flexing di IKN dah.. hahaha,neutral
"Ya udah.. Liatin aja..
Atau klw berani ajak kemah di IKN",neutral
"Arab Saudi jg sdg dlm proses perencanaan kota baru, Neom City, salah satu investor, yg kemaren mundur dr IKN, SofBank. Kenapa dia mundur di sini tp stay di Neom?",neutral
Hasil wangsit kemah di IKN,neutral
mari kita tunggu ikn selesai pembangunan,neutral
"... ujar Menteri PPN Suharso Monoarfa saat berkunjung ke BSD Green Office Park, 16 Januari 2022 saat UU IKN masih dalam proses pembuatan.",neutral
Soalnya kalo ganti tar 2024.. ikn nya baru peletakan batu keempat mungkin... Jd isyuunya digalakan biar mundur,neutral
Selanjutnya akankah IKN bernasib sama,neutral
"minyak, afiliator, IKN, MotoGP",neutral
Mbok buat IKN 2 atau 3 lagi,neutral
Camping di IKN aja berani tidur sendiri kok,neutral
"M.A.W Brouwer pernah berkata ""bumi Pasundan lahir ketika Tuhan sedang tersenyum""
maka
IKN lahir ketika Tuhan sedang…",neutral
"wkwkwkw i’m a party pooper klo ngobrol dr obrolan santai bisa tiba2 serius bahan obrolannya (perang rusia, IKN, gossip bola, saran bl mobil)  kebawa kerjaan kali ya, yg disuruh mikir +update isu2 terkini. Pdhl gw orgnya lucu jg koook (klo chemistrynya dpt )",neutral
IKN itu ikaaannn yah kaka,neutral
IKN pindah ke Sumatra,neutral
ikn n nya nopan,neutral
Covid cuma ada di IKN ya?,neutral
"Setelah 28 ribu tenggelam, terbitlah 47ribu
Oleh oleh dari kemah di ikn",neutral
"Min, berhubung IKN katanya bakal pindah, apa Genderang UI akan diubah liriknya?",neutral
Jacketnya ko ga ganti2 kyknya dari IKN,neutral
Mencoba meraba raba kembali waktu perpindahan ke IKN di PPU,neutral
Kenapa bukan bikin di ibukota negara (IKN) pak,neutral
"Menurut Senator asal Jawa Timur ini, pada periode Januari 2022, media sosial diramaikan oleh berbagai kritik media terhadap IKN Nusantara, terkait isu lingkungan hidup, penggunaan dana yg bersumber dari APBN, mahalnya harga lahan dan isu kedaulatan. 
#LaNyalla #IKNNusantara",neutral
hal yg sama bisa ditanyakan utk IKN!,neutral
Alasan paling besar kenapa IKN di Kalimantan kanwalaupun kemaren jg smpet gempa,neutral
"Penajam, IDN Times - Seluas ratusan hektare lahan warga Kelurahan Pemaluan di Sepaku Penajam Paser Utara (PPU) Kalimantan Timur (Kaltim) masuk dalam kawasan inti pusat pemerintahan (KIPP) Ibu Kota Negara (IKN) Nusantara. 
Warga pemilik lahan pun resah, lahan mereka nantinya",neutral
Membayangkan situs tenda ikn,neutral
how about IKN ? kan mo pindah tuh menurut kakak gimana?. i mean like perlu ga sih ?.,neutral
Demokrat dukung IKN tapi nolak perpanjangan.,neutral
"Balikpapan sih, un
IKN masih 3 jam an lagi dr Balikpapan",neutral
"Lo, kan IKN Nusantara bukan IKN Republik Indonesia",neutral
"Secara simbolik maknanya Jateng tidak mau ikut pindah ke IKN.

Ganjar memang jelas pro DKI",neutral
Innaalillaah. Semoga tdk ada korban. Btw lokasinya deket IKN ga?,neutral
"Monggo para pendukung IKN, apa tanggapannya",neutral
bpk ini penunggu hutan IKN nya,neutral
"Pada ngacir ya ...hehehe
Mereka lebih tahu kedepan tentang proyek IKN ini...wait and see Aja deh",neutral
Uang buat IKN,neutral
itu semacam peletakan batu pertama di IKN kak tapi beliau buatnya dari semua prov masukin tanah dan air ke dalam kayak kendi besar gitu.. malamnya berkemah deh sama mentri2 disana. cmiiw,neutral
"Betul,, harusnya cukup menko yg mengatasi, ini sampai ke presiden dan presiden sampai buru buru pulang dari IKN semoga segera bisa diatas.",neutral
"Saat bertemu Presiden Joko Widodo, Senin, 14 Maret 2022, para tokoh adat mengutarakan harapannya agar pembangunan IKN tidak hanya mengenai infrastruktur, tetapi juga pengembangan sumber daya manusia (SDM).

𝗝𝗼𝗸𝗼𝘄𝗶 𝗣𝗿𝗼 𝗣𝗲𝗺𝗯𝗮𝗻𝗴𝘂𝗻𝗮𝗻 𝗦𝗗𝗠",neutral
Penampakan khas IKN,neutral
Waahhh bermalam di IKN nih,neutral
"Kendati SoftBank urung berinvestasi di IKN, Luhut menyatakan Indonesia telah mendapat komitmen investasi dari Abu Dhabi dan Saudi Arabia. Bahkan nilainya bisa menggantikan rencana investasi SoftBank.

""Saya nggak tahu, tapi uangnya kira-kira US$ 20 miliar,"" kata Luhut.

????????",neutral
Semudah bikin program 2 minggu jadi dan 2024 PNS upacara 17an di IKN.,neutral
yg abis kemping jangan lupa pada beli oleh-oleh kaos damn i love ikn,neutral
"Kemah dg Pak 
@jokowi
 di IKN?",neutral
Semoga warga lain sekitar IKN juga sadar...,neutral
Yuk bareng pak jowoki di IKN,neutral
Topik IKN piye?,neutral
Di titik nol IKN,neutral
Ga ikut ke IKN kang,neutral
Apa mayoritas wadas dukung IKN ?,neutral
Ke ikn aja nder,neutral
hasil dari Ritual IKN ???,neutral
Mampir IKN dong...,neutral
Presiden Jokowi memperkirakan pembangunan Ibu Kota Negara (IKN) Nusantara baru akan rampung 15-20 tahun dari sekarang.,neutral
Seberapa yakin anda IKN bisa selesai.?,neutral
