text,label
Buat IKN seperti ibukota Abu Dabi dan Jakarta seperti Dubai.,positive
Alhamdulillah kalau soal air dan banjir di Kaltim terutama di  IKN memang sejak dulu berkah.,positive
"Jokowi jg berkali-kali bilang pembangunan fisik IKN perlu 15 - 20 tahun. Dan diharapkan sdh lebih mewujud d tahun 2045, saat Indonesia merayakan 100 tahun kemerdekaan.",positive
"Jokowi 3 periode.... Yes!!
Lanjutken pembangunan IKN.",positive
Kita berpikir secara Logika dan Filosofi saja ya .... 34 Gubernur membawa tanah masing2 daerahnya kemudian dimasukkan Gentong dan disemayamkan di IKN itu kan bagus sebagai tanda Persatuan dan Kesatuan NKRI ..... Nah jadi apanya yang Salah ....???,positive
"Pembangunan IKN dapat memicu produktivitas berantai. Satu barang dirakit dari banyak komponen, yg dibuat oleh banyak manufaktur

Di tengah sepinya order, pembangunan IKN menjadi pemicu ekonomi, menggerakkan perekonomian

Pembangunan IKN itu bagian dari Pemulihan Ekonomi Nasional",positive
"“Presiden harus segera membenahi masalah ini sesegera mungkin dan jangan sampai berlarut-larut. Karena akan mengganggu dukungan masyarakat terhadap proses pembangunan lainnya, termasuk IKN Nusantara,” tutup LaNyalla",positive
"Semoga pembangunan IKN berjalan lancar dan sukses selalu .
#DenganETMerdekaBerdaulat",positive
Ikn mantap,positive
Kita Juga Dukung IKN Nusantara.,positive
IKN baru terbaik,positive
Dulu senang mau dijadikan ikn,positive
"Mantab indonesia segera pulih..  lombok NTB motogp, bintan kepri F1, kaltim IKN, menyusul sulawesi bikin event apalagi ?",positive
"Saya sbg rakyat biasa mendukung Niat baik pak Jokowi 
Kalau Ada yg Protes IKN ada di Tanah Kalimantan mngapa harus bawa Air dari Daerah lain
"""" IKN bukan milik Rakyat Kalimantan saja. IKN milik seluruh Rakyat & Bangsa Indonesia.",positive
"Mantap..
Energi tidak akan pernah mati, dia akan bermanfaat untuk menggerakkan energi lainnya. Begitulah energi murni para leluhur bangsa Nusantara itu menyatu di IKN

Jaya dan Raya Nusantara...
Bravo Indonesia",positive
"Banyak yg mau investasi di IKN, jd silahkan sj bagi soft bank keluar dr IKN",positive
Pintar pak Ganjar. Sengaja dibuat salah krn sesungguhnya beliau tdk setuju cara2 klenik di IKN. Mestinya berdoa di rumah ibadah.,positive
"Yesss...optimis IKN bisa menjadi kota terbaik di dunia

Ridwan Kamil BersamaJuara",positive
"Kalo IKN cita cita besar rakyat Indonesia, harusnya dilibatkan dari awal, ini diputuskan sendiri sama presiden, kalo dilibatkan dari awal dgn suka rela rakyat akan antusias membantu pembangunan IKN",positive
Kl ikn berkembang. Mudah-mudahan provinsi se kalimantan ikut terangkat. Pada akhinya nanti seluruh daratan se kalimantan akan terintegrasi,positive
"IKN jd tonggak sejarah menyongsong Indonesia Emas 2045...

#DenganETMerdekaBerdaulat",positive
"Semoga bukan hanya tanah & air dari seluruh Indonesia menyatu di IKN Yg baru di Kaltim, tapi hati  & semangat masyarakat Indonesia menyatu Utk IKN Tsb",positive
"Semoga sehat selalu pak Presiden. sukses dan lancar pembangunan dan pemindahan IKN.
Aamiin",positive
Gaspol IKN,positive
"Yang ngomongin acara simbolik di IKN itu jelek2, hidupnya kuyakin hambar",positive
"@ridwankamil
Ya memang IKN tdk harus seramai Jakarta atau Bandung, justru itu tujuannya.. menciptakan smart city, green city. Yg penting fungsi administrasi, koordinasi dan kontrol berjalan. Yg utama seluruh Kemenko, Kementerian, Mabes TNI dan angkatan serta Mabes Polri pindah..",positive
"Semangat kan IKN
DenganETMerdekaBerdaulat",positive
"Ini  bukan    DUKUN .. seperti  kata  oknum demokrat ..   ..
     LAMBANG .. Dari  Kesatuan   REPUBLIK  INDONESIA..   TANAH  DAN  AIR   JADI  SATU ..  DARI   SABANG  SAMPAI  MERAUKE.. 
        DI  SATU KAN DI   IKN  BARU.",positive
Aish...napa emangnya kalo pindah ke IKN. Tempat tugasku skrg jg bukan kampung asalku. 400 km dari rumahku di Pontianak loh,positive
Lanjutken pembangunan IKN.,positive
Info yg bagus sekali.  Mudah2an semua urusan  IKN berjalan lancar.,positive
Saya dukung 1000% demi pembangunan ikn sikat aja....,positive
"Biarkan mereka berkoar karna sakit hati, tapi yg pasti pak Jokowi selalu optimis dan sudah terbukti pembangunan di seanteru negeri ini berjalan baik dan sukses.... Yang waras mari kita dukung pak Jokowi dalam membangun IKN Nusantara.",positive
Umurku skg 50 tahun semoga masih bisa menikmati IKN nanti,positive
Ini sangat bagus Mas hatur nuhun..dari utas yg Mas buat artinya pemerintah sdh siapkan strateginya dong utk filter Investasi di IKN,positive
Dukung IKN sepenuhnya,positive
Love IKN Nusantara,positive
Mantap IKN,positive
Subhanallah..indah sekali IKN,positive
Semoga segera terwujud IKN Nusantara,positive
IKN Perjuangan,positive
"Yang hebat itu RK, semua tanah sekabupaten/kotamadya di seluruh Jabar diambil buat dicampur dengan tanah IKN.",positive
Semoga menjadikan Indonesia berkembang..,positive
Berarti sudah tepat IKN ada di Pulau Kalimantan agar pembangunan merata. Gitu sih cara berpikirnya.,positive
"Hahaha dasar orang tolol!! Otak lo aja yg bego, ngaitin itu sama takhayul. Jelas jelas tujuan kendi Nusantara itu bagus buat nyatuin air sama tanah di Titik Nol IKN. Otak lo aja yg udah akut jadi sebar provokasi bego begitu. Dasar tolol!!!",positive
"Gk usah berpolemik..
IKN udah d putuskan..
Kita tunggu aja hasilnya..",positive
"Sejarah baru Indonesia, semoga semua lancar pembangunan IKN.

 KDRUN",positive
