text,label,pisah_hashtag&kata
"Lho!!!! Dia Yg Minta IKN , Kok Otorita. Di Bebani!! Ya Modarlah?",negative,"Lho!!!! Dia Yg Minta IKN , Kok Otorita. Di Bebani!! Ya Modarlah?"
Belum jadi kok sudah mau memindahkan ASN Pak? Yakin kalau IKN sdh jadi bapak masih jadi Menteri?,negative,Belum jadi kok sudah mau memindahkan ASN Pak? Yakin kalau IKN sdh jadi bapak masih jadi Menteri?
"Sampai di IKN, asn nya mengeluh...oala disini baru seminggu kerja kena DBD, malaria ... gak biasa dengar suara monyet, ular dan kadang2 anak buaya didepan rumah...sabar ya asn",negative,"Sampai di IKN, asn nya mengeluh...oala disini baru seminggu kerja kena DBD, malaria ... gak biasa dengar suara monyet, ular dan kadang2 anak buaya didepan rumah...sabar ya asn"
"Emang ikn jadi kapan? Kayak dia masih menjabat aja, boro-boro masih ada",negative,"Emang ikn jadi kapan? Kayak dia masih menjabat aja, boro-boro masih ada"
"Tdk semudah itu ASN wajib pindah ke IKN tahun berapa. Investor nya jg kaboor. Blm jaminan kantor2 2024 siap
Sombong banget",negative,"Tdk semudah itu ASN wajib pindah ke IKN tahun berapa. Investor nya jg kaboor. Blm jaminan kantor2 2024 siap
Sombong banget"
Gak akan dapat IKN tak jelas.,negative,Gak akan dapat IKN tak jelas.
"Lu yakin IKN bakal mulus..?
Halu lu sama keq junjungan lu..",negative,"Lu yakin IKN bakal mulus..?
Halu lu sama keq junjungan lu.."
"Semoga hanya diberi angin Surga saja ..wkwkwkwkwk
Ambyaaaar itu proyect IKN kurang Dana...",negative,"Semoga hanya diberi angin Surga saja ..wkwkwkwkwk
Ambyaaaar itu proyect IKN kurang Dana..."
"pendukung IKN dan buzzerRp pasa pindah duluan dah sono. kantor PBNU ANSOR BANSER buruan hijrah. 
@PBNU_164",negative,"pendukung IKN dan buzzerRp pasa pindah duluan dah sono. kantor PBNU ANSOR BANSER buruan hijrah. 
@PBNU_164"
"Kalau utk urusan rakyat mana mau Pmrnth berikan subsidi … tp kalau utk proyek inftastruktur, IKN, APBN siap digelontorkan.",negative,"Kalau utk urusan rakyat mana mau Pmrnth berikan subsidi … tp kalau utk proyek inftastruktur, IKN, APBN siap digelontorkan."
Merehabilitasi hutan???.bukannya hutannya ditebang mau dijadikan IKN..,negative,Merehabilitasi hutan???.bukannya hutannya ditebang mau dijadikan IKN..
