Kata Tidak Baku,Frekuensi
ikn,13310
yg,3920
gak,1143
ga,911
nya,896
pemilu,807
jokowi,793
pembangunan,680
utk,523
tdk,493
semoga,453
dgn,442
jd,411
kalimantan,405
sdh,404
udah,386
klo,373
dr,355
pemerintah,350
dulu,342
jakarta,305
dg,297
krn,296
softbank,284
migor,276
ibukota,264
setuju,255
gk,254
jg,248
tuh,248
mangkrak,247
tp,245
menjadi,241
jawa,240
jabatan,224
esemka,224
uu,223
lg,220
pake,211
sebagai,209
apbn,204
-,203
otorita,202
membangun,202
nggak,195
alasan,192
jgn,181
setelah,175
gitu,171
anggaran,169
lu,168
blm,167
negeri,167
pemindahan,166
ditunda,166
penundaan,157
org,157
berkemah,156
utang,156
hutang,155
katanya,153
dlm,152
ikn_ikatan,148
pejabat,146
allah,145
ngotot,144
gimana,143
pemimpin,141
dibangun,139
diabaikan,136
iknrakyat,133
sy,132
dll,131
urusan,128
ngurus,126
gw,126
disana,124
sampe,124
luhut,123
ternyata,119
kl,119
trus,119
terjadi,118
bener,117
mikir,115
asn,114
kemping,113
berarti,113
skrg,113
udh,112
bs,112
sekali,112
eh,111
jepang,110
kepentingan,109
nkri,109
berjalan,107
kebutuhan,106
mendukung,106
ikn_rampas,105
kaltim,104
menolak,104
msh,103
tni,102
secara,101
ntar,100
perpanjangan,99
hrs,98
maksa,97
ri,97
mo,96
lbh,96
sembako,95
akhirnya,94
terlalu,94
dibawa,91
spt,91
bkn,90
sesuai,90
termasuk,89
ngga,89
pengen,89
pd,89
china,87
harusnya,87
dpr,87
mikirin,86
membawa,85
pemerintahan,85
sbg,85
semakin,85
lainnya,84
dimana,84
namanya,83
bakalan,83
sm,83
sebelum,82
mrk,82
yah,81
ngutang,81
menurut,81
kadrun,81
gini,80
dki,80
thn,78
duitnya,78
knp,77
kebijakan,77
bersama,77
membuat,77
ngapain,76
opung,75
rakyatnya,75
penguasa,75
masing,74
dilakukan,73
yaa,73
invest,73
sekalian,73
ngurusin,72
terkait,72
berharap,72
polri,72
nambah,71
ngak,70
artinya,70
hambalang,70
kelangkaan,69
terwujud,69
anies,69
tu,68
berbagai,68
dpt,67
bpk,66
ngomong,66
batalkan,66
jkt,66
saudi,65
bgt,65
karna,65
sebenarnya,65
adanya,65
cuan,65
kayaknya,64
dayak,64
papua,64
dn,63
selama,63
tsb,63
melihat,62
bro,62
sepertinya,62
mukidi,61
sj,60
aamiin,59
hahaha,59
