Unnamed: 0,text_tweet,pisah_hashtag&kata,text_cleaning,text_normalisasi,tweet_tokens,tweet_tokens_WSW,polarity_score,polarity,positive_words,negative_words
626,@KoalisiNetizen Peningkatan akses transportasi akan mendorong pertumbuhan sektor pariwisata #IbuKotaNegara,@KoalisiNetizen Peningkatan akses transportasi akan mendorong pertumbuhan sektor pariwisata #Ibu Kota Negara,peningkatan akses transportasi akan mendorong pertumbuhan sektor pariwisata ibu kota negara,peningkatan akses transportasi akan mendorong pertumbuhan sektor pariwisata ibu kota negara,"['peningkatan', 'akses', 'transportasi', 'akan', 'mendorong', 'pertumbuhan', 'sektor', 'pariwisata', 'ibu', 'kota', 'negara']","['peningkatan', 'akses', 'transportasi', 'mendorong', 'pertumbuhan', 'sektor', 'pariwisata', 'kota', 'negara']",-3,negative,"[('akses', 2)]","[('mendorong', -4), ('kota', -1)]"
629,Seorang Warga negara haram Isr4el Avitan Shalom yang ditahan memiliki enam pucuk pistol dan 200 butir peluru di sebuah hotal di ibu kota Kuala Lumpur pada bulan lepas bakal didakwa atas pertuduhan Akta senjata api di Mahkamah Sesyen Kuala Lumpur hari ini. https://t.co/GATW1ffUTh,Seorang Warga negara haram Isr4el Avitan Shalom yang ditahan memiliki enam pucuk pistol dan 200 butir peluru di sebuah hotal di ibu kota Kuala Lumpur pada bulan lepas bakal didakwa atas pertuduhan Akta senjata api di Mahkamah Sesyen Kuala Lumpur hari ini. https://t.co/GATW1ffUTh,seorang warga negara haram isrel avitan shalom yang ditahan memiliki enam pucuk pistol dan  butir peluru di sebuah hotal di ibu kota kuala lumpur pada bulan lepas bakal didakwa atas pertuduhan akta senjata api di mahkamah sesyen kuala lumpur hari ini,seorang warga negara haram isrel avitan shalom yang ditahan memiliki enam pucuk pistol dan  butir peluru di sebuah hotal di ibu kota kuala lumpur pada bulan lepas bakal didakwa atas pertuduhan akta senjata api di mahkamah sesyen kuala lumpur hari ini,"['seorang', 'warga', 'negara', 'haram', 'isrel', 'avitan', 'shalom', 'yang', 'ditahan', 'memiliki', 'enam', 'pucuk', 'pistol', 'dan', 'butir', 'peluru', 'di', 'sebuah', 'hotal', 'di', 'ibu', 'kota', 'kuala', 'lumpur', 'pada', 'bulan', 'lepas', 'bakal', 'didakwa', 'atas', 'pertuduhan', 'akta', 'senjata', 'api', 'di', 'mahkamah', 'sesyen', 'kuala', 'lumpur', 'hari', 'ini']","['warga', 'negara', 'haram', 'isrel', 'avitan', 'shalom', 'ditahan', 'memiliki', 'enam', 'pucuk', 'pistol', 'butir', 'peluru', 'hotal', 'kota', 'kuala', 'lumpur', 'lepas', 'didakwa', 'pertuduhan', 'akta', 'senjata', 'api', 'mahkamah', 'sesyen', 'kuala', 'lumpur']",1,positive,"[('kuala', 4), ('api', 4), ('kuala', 4)]","[('peluru', -3), ('kota', -1), ('lepas', -2), ('api', -2), ('mahkamah', -3)]"
847,Menteri PUPR Basuki Hadimuljono mengungkapkan rencananya presiden terpilih 2024-2029 akan dilantik di Ibu Kota Nusantara (IKN) Kalimantan Timur. Jawaban ini menyusul status DKI Jakarta yang sudah bukan lagi berstatus ibu kota negara.⁣ #detikfinance #PrabowoSubianto #IKN https://t.co/7PEX7KHhXH,Menteri PUPR Basuki Hadimuljono mengungkapkan rencananya presiden terpilih 2024-2029 akan dilantik di Ibu Kota Nusantara (IKN) Kalimantan Timur. Jawaban ini menyusul status DKI Jakarta yang sudah bukan lagi berstatus ibu kota negara.⁣ #detikfinance #Prabowo Subianto #IKN https://t.co/7PEX7KHhXH,menteri pupr basuki hadimuljono mengungkapkan rencananya presiden terpilih - akan dilantik di ibu kota nusantara ikn kalimantan timur jawaban ini menyusul status dki jakarta yang sudah bukan lagi berstatus ibu kota negara detikfinance prabowo subianto ikn,menteri pupr basuki hadimuljono mengungkapkan rencananya presiden terpilih - akan dilantik di ibu kota nusantara ibu kota negara kalimantan timur jawaban ini menyusul status dki jakarta yang sudah bukan lagi berstatus ibu kota negara detikfinance prabowo subianto ibu kota negara,"['menteri', 'pupr', 'basuki', 'hadimuljono', 'mengungkapkan', 'rencananya', 'presiden', 'terpilih', '-', 'akan', 'dilantik', 'di', 'ibu', 'kota', 'nusantara', 'ibu', 'kota', 'negara', 'kalimantan', 'timur', 'jawaban', 'ini', 'menyusul', 'status', 'dki', 'jakarta', 'yang', 'sudah', 'bukan', 'lagi', 'berstatus', 'ibu', 'kota', 'negara', 'detikfinance', 'prabowo', 'subianto', 'ibu', 'kota', 'negara']","['menteri', 'pupr', 'basuki', 'hadimuljono', 'rencananya', 'presiden', 'terpilih', '-', 'dilantik', 'kota', 'nusantara', 'kota', 'negara', 'kalimantan', 'timur', 'menyusul', 'status', 'dki', 'jakarta', 'berstatus', 'kota', 'negara', 'detikfinance', 'prabowo', 'subianto', 'kota', 'negara']",3,positive,"[('presiden', 3), ('berstatus', 4)]","[('kota', -1), ('kota', -1), ('kota', -1), ('kota', -1)]"
514,Ternyata masalah lahan di Ibu Kota Negara (IKN) Nusantara di Penajam Paser Utara (PPU) Kalimantan Timur (Kaltim) banyak masalah. Jaringan Advokasi ... https://t.co/akOlSlIsgW,Ternyata masalah lahan di Ibu Kota Negara (IKN) Nusantara di Penajam Paser Utara (PPU) Kalimantan Timur (Kaltim) banyak masalah. Jaringan Advokasi ... https://t.co/akOlSlIsgW,ternyata masalah lahan di ibu kota negara ikn nusantara di penajam paser utara ppu kalimantan timur kaltim banyak masalah jaringan advokasi,ternyata masalah lahan di ibu kota negara ibu kota negara nusantara dipenajam paser utara ppu kalimantan timur kaltim banyak masalah jaringan advokasi,"['ternyata', 'masalah', 'lahan', 'di', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'dipenajam', 'paser', 'utara', 'ppu', 'kalimantan', 'timur', 'kaltim', 'banyak', 'masalah', 'jaringan', 'advokasi']","['lahan', 'kota', 'negara', 'kota', 'negara', 'nusantara', 'dipenajam', 'paser', 'utara', 'ppu', 'kalimantan', 'timur', 'kaltim', 'jaringan', 'advokasi']",-3,negative,"[('jaringan', 3)]","[('kota', -1), ('kota', -1), ('jaringan', -4)]"
365,Sebuah langkah besar menuju masa depan yang lebih berkesinambungan dan inklusif. Dukungan terhadap pembangunan Ibu Kota Negara (IKN) yang baru adalah bukti komitmen kita untuk membangun fondasi yang kuat bagi generasi mendatang. #IbuKotaNegaraBaru #TransformasiNegara https://t.co/sVK5SU5XoW,Sebuah langkah besar menuju masa depan yang lebih berkesinambungan dan inklusif. Dukungan terhadap pembangunan Ibu Kota Negara (IKN) yang baru adalah bukti komitmen kita untuk membangun fondasi yang kuat bagi generasi mendatang. #Ibu Kota Negara Baru #Transformasi Negara https://t.co/sVK5SU5XoW,sebuah langkah besar menuju masa depan yang lebih berkesinambungan dan inklusif dukungan terhadap pembangunan ibu kota negara ikn yang baru adalah bukti komitmen kita untuk membangun fondasi yang kuat bagi generasi mendatang ibu kota negara baru transformasi negara,sebuah langkah besar menuju masa depan yang lebih berkesinambungan dan inklusif dukungan terhadap pembangunan ibu kota negara ibu kota negara yang baru adalah bukti komitmen kita untuk membangun fondasi yang kuat bagi generasi mendatang ibu kota negara baru transformasi negara,"['sebuah', 'langkah', 'besar', 'menuju', 'masa', 'depan', 'yang', 'lebih', 'berkesinambungan', 'dan', 'inklusif', 'dukungan', 'terhadap', 'pembangunan', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'yang', 'baru', 'adalah', 'bukti', 'komitmen', 'kita', 'untuk', 'membangun', 'fondasi', 'yang', 'kuat', 'bagi', 'generasi', 'mendatang', 'ibu', 'kota', 'negara', 'baru', 'transformasi', 'negara']","['langkah', 'berkesinambungan', 'inklusif', 'dukungan', 'pembangunan', 'kota', 'negara', 'kota', 'negara', 'bukti', 'komitmen', 'membangun', 'fondasi', 'kuat', 'generasi', 'kota', 'negara', 'transformasi', 'negara']",-4,negative,"[('langkah', 4), ('inklusif', 1), ('dukungan', 4), ('fondasi', 2), ('kuat', 2)]","[('inklusif', -2), ('kota', -1), ('kota', -1), ('bukti', -3), ('fondasi', -3), ('kuat', -3), ('generasi', -3), ('kota', -1)]"
903,IKN semakin mendekati statusnya sebagai Daerah Khusus menggantikan Jakarta dan diharapkan memiliki peran seperti New York City dan Washington DC. #ikn #ibukotanusantara #ibukotanegara #nusantara #jakarta #washingtondc #kaltim #newyork #canberra #sydney https://t.co/fL4hjipEag,IKN semakin mendekati statusnya sebagai Daerah Khusus menggantikan Jakarta dan diharapkan memiliki peran seperti New York City dan Washington DC. #ikn #ibukotanusantara #ibukotanegara #nusantara #jakarta #washingtondc #kaltim #newyork #canberra #sydney https://t.co/fL4hjipEag,ikn semakin mendekati statusnya sebagai daerah khusus menggantikan jakarta dan diharapkan memiliki peran seperti new york city dan washington dc ikn ibukotanusantara ibukotanegara nusantara jakarta washingtondc kaltim newyork canberra sydney,ibu kota negara semakin mendekati statusnya sebagai daerah khusus menggantikan jakarta dan diharapkan memiliki peran seperti new york kota dan washington dc ibu kota negara ibu kota nusantara ibukotanegara nusantara jakarta washingtondc kaltim newyork canberra sydney,"['ibu', 'kota', 'negara', 'semakin', 'mendekati', 'statusnya', 'sebagai', 'daerah', 'khusus', 'menggantikan', 'jakarta', 'dan', 'diharapkan', 'memiliki', 'peran', 'seperti', 'new', 'york', 'kota', 'dan', 'washington', 'dc', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'nusantara', 'ibukotanegara', 'nusantara', 'jakarta', 'washingtondc', 'kaltim', 'newyork', 'canberra', 'sydney']","['kota', 'negara', 'mendekati', 'statusnya', 'daerah', 'khusus', 'menggantikan', 'jakarta', 'diharapkan', 'memiliki', 'peran', 'new', 'york', 'kota', 'washington', 'dc', 'kota', 'negara', 'kota', 'nusantara', 'ibukotanegara', 'nusantara', 'jakarta', 'washingtondc', 'kaltim', 'newyork', 'canberra', 'sydney']",-4,negative,[],"[('kota', -1), ('kota', -1), ('kota', -1), ('kota', -1)]"
655,IKN Nusantara dijaga selama 24 Jam non-stop selama musim libur lebaran 2024 #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/qTlojxdwCH,IKN Nusantara dijaga selama 24 Jam non-stop selama musim libur lebaran 2024 #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/qTlojxdwCH,ikn nusantara dijaga selama  jam non-stop selama musim libur lebaran  ibu kota negara iknnusantara pindah ibu kota,ibu kota negara nusantara dijaga selama  jam non-berhenti selama musim libur lebaran  ibu kota negara ibu kota negara nusantara pindah ibu kota,"['ibu', 'kota', 'negara', 'nusantara', 'dijaga', 'selama', 'jam', 'non-berhenti', 'selama', 'musim', 'libur', 'lebaran', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'pindah', 'ibu', 'kota']","['kota', 'negara', 'nusantara', 'dijaga', 'jam', 'non-berhenti', 'musim', 'libur', 'lebaran', 'kota', 'negara', 'kota', 'negara', 'nusantara', 'pindah', 'kota']",-3,negative,"[('libur', 3), ('pindah', 1)]","[('kota', -1), ('kota', -1), ('kota', -1), ('pindah', -3), ('kota', -1)]"
528,@KotaNusantara Kami warga Yogyakarta akan mengawal pembangunan IKN #IbuKotaNegara,@KotaNusantara Kami warga Yogyakarta akan mengawal pembangunan IKN #Ibu Kota Negara,kami warga yogyakarta akan mengawal pembangunan ikn ibu kota negara,kami warga yogyakarta akan mengawal pembangunan ibu kota negara ibu kota negara,"['kami', 'warga', 'yogyakarta', 'akan', 'mengawal', 'pembangunan', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara']","['warga', 'yogyakarta', 'mengawal', 'pembangunan', 'kota', 'negara', 'kota', 'negara']",-2,negative,"[('mengawal', 2)]","[('mengawal', -2), ('kota', -1), ('kota', -1)]"
321,@IKNnusantaraID Kami warga Palembang mendukung pemindahan Ibu Kota negara #IKNNusantara,@IKNnusantaraID Kami warga Palembang mendukung pemindahan Ibu Kota negara #IKNNusantara,kami warga palembang mendukung pemindahan ibu kota negara iknnusantara,kami warga palembang mendukung pemindahan ibu kota negara ibu kota negara nusantara,"['kami', 'warga', 'palembang', 'mendukung', 'pemindahan', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara']","['warga', 'palembang', 'mendukung', 'pemindahan', 'kota', 'negara', 'kota', 'negara', 'nusantara']",-2,negative,[],"[('kota', -1), ('kota', -1)]"
70,Alasan Agus Harimurti Yudhoyono Siap Dipindahkan ke IKN Kaltim Daftar Menteri yang Pertama Pindah #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #AHY #AgusHarimurtiYudhoyono https://t.co/kqbOheABQ2 lewat @tribunkaltim,Alasan Agus Harimurti Yudhoyono Siap Dipindahkan ke IKN Kaltim Daftar Menteri yang Pertama Pindah #IKN #IKNNusantara #Ibu Kota Negara #Ibu Kota Nusantara #Kaltim #Kalimantan Timur #AHY #Agus Harimurti Yudhoyono https://t.co/kqbOheABQ2 lewat @tribunkaltim,alasan agus harimurti yudhoyono siap dipindahkan ke ikn kaltim daftar menteri yang pertama pindah ikn iknnusantara ibu kota negara ibu kota nusantara kaltim kalimantan timur ahy agus harimurti yudhoyono lewat,alasan agus harimurti yudhoyono siap dipindahkan ke ibu kota negara kaltim daftar menteri yang pertama pindah ibu kota negara ibu kota negara nusantara ibu kota negara ibu kota nusantara kaltim kalimantan timur ahy agus harimurti yudhoyono lewat,"['alasan', 'agus', 'harimurti', 'yudhoyono', 'siap', 'dipindahkan', 'ke', 'ibu', 'kota', 'negara', 'kaltim', 'daftar', 'menteri', 'yang', 'pertama', 'pindah', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'nusantara', 'kaltim', 'kalimantan', 'timur', 'ahy', 'agus', 'harimurti', 'yudhoyono', 'lewat']","['alasan', 'agus', 'harimurti', 'yudhoyono', 'dipindahkan', 'kota', 'negara', 'kaltim', 'daftar', 'menteri', 'pindah', 'kota', 'negara', 'kota', 'negara', 'nusantara', 'kota', 'negara', 'kota', 'nusantara', 'kaltim', 'kalimantan', 'timur', 'ahy', 'agus', 'harimurti', 'yudhoyono']",-9,negative,"[('daftar', 1), ('pindah', 1)]","[('kota', -1), ('daftar', -3), ('pindah', -3), ('kota', -1), ('kota', -1), ('kota', -1), ('kota', -1)]"
