Unnamed: 0,text_tweet,pisah_hashtag&kata,text_cleaning,text_normalisasi,tweet_tokens,polarity_score,polarity,positive_words,negative_words
626,@KoalisiNetizen Peningkatan akses transportasi akan mendorong pertumbuhan sektor pariwisata #IbuKotaNegara,@KoalisiNetizen Peningkatan akses transportasi akan mendorong pertumbuhan sektor pariwisata #Ibu Kota Negara,peningkatan akses transportasi akan mendorong pertumbuhan sektor pariwisata ibu kota negara,peningkatan akses transportasi akan mendorong pertumbuhan sektor pariwisata ibu kota negara,"['peningkatan', 'akses', 'transportasi', 'akan', 'mendorong', 'pertumbuhan', 'sektor', 'pariwisata', 'ibu', 'kota', 'negara']",-3,negative,"[('akses', 2)]","[('mendorong', -4), ('kota', -1)]"
629,Seorang Warga negara haram Isr4el Avitan Shalom yang ditahan memiliki enam pucuk pistol dan 200 butir peluru di sebuah hotal di ibu kota Kuala Lumpur pada bulan lepas bakal didakwa atas pertuduhan Akta senjata api di Mahkamah Sesyen Kuala Lumpur hari ini. https://t.co/GATW1ffUTh,Seorang Warga negara haram Isr4el Avitan Shalom yang ditahan memiliki enam pucuk pistol dan 200 butir peluru di sebuah hotal di ibu kota Kuala Lumpur pada bulan lepas bakal didakwa atas pertuduhan Akta senjata api di Mahkamah Sesyen Kuala Lumpur hari ini. https://t.co/GATW1ffUTh,seorang warga negara haram isrel avitan shalom yang ditahan memiliki enam pucuk pistol dan  butir peluru di sebuah hotal di ibu kota kuala lumpur pada bulan lepas bakal didakwa atas pertuduhan akta senjata api di mahkamah sesyen kuala lumpur hari ini,seorang warga negara haram isrel avitan shalom yang ditahan memiliki enam pucuk pistol dan  butir peluru di sebuah hotal di ibu kota kuala lumpur pada bulan lepas bakal didakwa atas pertuduhan akta senjata api di mahkamah sesyen kuala lumpur hari ini,"['seorang', 'warga', 'negara', 'haram', 'isrel', 'avitan', 'shalom', 'yang', 'ditahan', 'memiliki', 'enam', 'pucuk', 'pistol', 'dan', 'butir', 'peluru', 'di', 'sebuah', 'hotal', 'di', 'ibu', 'kota', 'kuala', 'lumpur', 'pada', 'bulan', 'lepas', 'bakal', 'didakwa', 'atas', 'pertuduhan', 'akta', 'senjata', 'api', 'di', 'mahkamah', 'sesyen', 'kuala', 'lumpur', 'hari', 'ini']",-12,negative,"[('kuala', 4), ('api', 4), ('kuala', 4)]","[('yang', -5), ('peluru', -3), ('kota', -1), ('pada', -3), ('bulan', -1), ('lepas', -2), ('atas', -4), ('api', -2), ('mahkamah', -3)]"
847,Menteri PUPR Basuki Hadimuljono mengungkapkan rencananya presiden terpilih 2024-2029 akan dilantik di Ibu Kota Nusantara (IKN) Kalimantan Timur. Jawaban ini menyusul status DKI Jakarta yang sudah bukan lagi berstatus ibu kota negara.⁣ #detikfinance #PrabowoSubianto #IKN https://t.co/7PEX7KHhXH,Menteri PUPR Basuki Hadimuljono mengungkapkan rencananya presiden terpilih 2024-2029 akan dilantik di Ibu Kota Nusantara (IKN) Kalimantan Timur. Jawaban ini menyusul status DKI Jakarta yang sudah bukan lagi berstatus ibu kota negara.⁣ #detikfinance #Prabowo Subianto #IKN https://t.co/7PEX7KHhXH,menteri pupr basuki hadimuljono mengungkapkan rencananya presiden terpilih - akan dilantik di ibu kota nusantara ikn kalimantan timur jawaban ini menyusul status dki jakarta yang sudah bukan lagi berstatus ibu kota negara detikfinance prabowo subianto ikn,menteri pupr basuki hadimuljono mengungkapkan rencananya presiden terpilih - akan dilantik di ibu kota nusantara ibu kota negara kalimantan timur jawaban ini menyusul status dki jakarta yang sudah bukan lagi berstatus ibu kota negara detikfinance prabowo subianto ibu kota negara,"['menteri', 'pupr', 'basuki', 'hadimuljono', 'mengungkapkan', 'rencananya', 'presiden', 'terpilih', '-', 'akan', 'dilantik', 'di', 'ibu', 'kota', 'nusantara', 'ibu', 'kota', 'negara', 'kalimantan', 'timur', 'jawaban', 'ini', 'menyusul', 'status', 'dki', 'jakarta', 'yang', 'sudah', 'bukan', 'lagi', 'berstatus', 'ibu', 'kota', 'negara', 'detikfinance', 'prabowo', 'subianto', 'ibu', 'kota', 'negara']",-13,negative,"[('presiden', 3), ('jawaban', 3), ('sudah', 3), ('berstatus', 4)]","[('mengungkapkan', -4), ('kota', -1), ('kota', -1), ('jawaban', -5), ('yang', -5), ('sudah', -2), ('bukan', -3), ('lagi', -3), ('kota', -1), ('kota', -1)]"
514,Ternyata masalah lahan di Ibu Kota Negara (IKN) Nusantara di Penajam Paser Utara (PPU) Kalimantan Timur (Kaltim) banyak masalah. Jaringan Advokasi ... https://t.co/akOlSlIsgW,Ternyata masalah lahan di Ibu Kota Negara (IKN) Nusantara di Penajam Paser Utara (PPU) Kalimantan Timur (Kaltim) banyak masalah. Jaringan Advokasi ... https://t.co/akOlSlIsgW,ternyata masalah lahan di ibu kota negara ikn nusantara di penajam paser utara ppu kalimantan timur kaltim banyak masalah jaringan advokasi,ternyata masalah lahan di ibu kota negara ibu kota negara nusantara dipenajam paser utara ppu kalimantan timur kaltim banyak masalah jaringan advokasi,"['ternyata', 'masalah', 'lahan', 'di', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'dipenajam', 'paser', 'utara', 'ppu', 'kalimantan', 'timur', 'kaltim', 'banyak', 'masalah', 'jaringan', 'advokasi']",-11,negative,"[('banyak', 3), ('jaringan', 3)]","[('masalah', -4), ('kota', -1), ('kota', -1), ('banyak', -3), ('masalah', -4), ('jaringan', -4)]"
365,Sebuah langkah besar menuju masa depan yang lebih berkesinambungan dan inklusif. Dukungan terhadap pembangunan Ibu Kota Negara (IKN) yang baru adalah bukti komitmen kita untuk membangun fondasi yang kuat bagi generasi mendatang. #IbuKotaNegaraBaru #TransformasiNegara https://t.co/sVK5SU5XoW,Sebuah langkah besar menuju masa depan yang lebih berkesinambungan dan inklusif. Dukungan terhadap pembangunan Ibu Kota Negara (IKN) yang baru adalah bukti komitmen kita untuk membangun fondasi yang kuat bagi generasi mendatang. #Ibu Kota Negara Baru #Transformasi Negara https://t.co/sVK5SU5XoW,sebuah langkah besar menuju masa depan yang lebih berkesinambungan dan inklusif dukungan terhadap pembangunan ibu kota negara ikn yang baru adalah bukti komitmen kita untuk membangun fondasi yang kuat bagi generasi mendatang ibu kota negara baru transformasi negara,sebuah langkah besar menuju masa depan yang lebih berkesinambungan dan inklusif dukungan terhadap pembangunan ibu kota negara ibu kota negara yang baru adalah bukti komitmen kita untuk membangun fondasi yang kuat bagi generasi mendatang ibu kota negara baru transformasi negara,"['sebuah', 'langkah', 'besar', 'menuju', 'masa', 'depan', 'yang', 'lebih', 'berkesinambungan', 'dan', 'inklusif', 'dukungan', 'terhadap', 'pembangunan', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'yang', 'baru', 'adalah', 'bukti', 'komitmen', 'kita', 'untuk', 'membangun', 'fondasi', 'yang', 'kuat', 'bagi', 'generasi', 'mendatang', 'ibu', 'kota', 'negara', 'baru', 'transformasi', 'negara']",-22,negative,"[('langkah', 4), ('besar', 4), ('lebih', 1), ('inklusif', 1), ('dukungan', 4), ('fondasi', 2), ('kuat', 2), ('bagi', 2)]","[('besar', -2), ('menuju', -4), ('yang', -5), ('inklusif', -2), ('kota', -1), ('kota', -1), ('yang', -5), ('bukti', -3), ('fondasi', -3), ('yang', -5), ('kuat', -3), ('bagi', -4), ('generasi', -3), ('kota', -1)]"
903,IKN semakin mendekati statusnya sebagai Daerah Khusus menggantikan Jakarta dan diharapkan memiliki peran seperti New York City dan Washington DC. #ikn #ibukotanusantara #ibukotanegara #nusantara #jakarta #washingtondc #kaltim #newyork #canberra #sydney https://t.co/fL4hjipEag,IKN semakin mendekati statusnya sebagai Daerah Khusus menggantikan Jakarta dan diharapkan memiliki peran seperti New York City dan Washington DC. #ikn #ibukotanusantara #ibukotanegara #nusantara #jakarta #washingtondc #kaltim #newyork #canberra #sydney https://t.co/fL4hjipEag,ikn semakin mendekati statusnya sebagai daerah khusus menggantikan jakarta dan diharapkan memiliki peran seperti new york city dan washington dc ikn ibukotanusantara ibukotanegara nusantara jakarta washingtondc kaltim newyork canberra sydney,ibu kota negara semakin mendekati statusnya sebagai daerah khusus menggantikan jakarta dan diharapkan memiliki peran seperti new york kota dan washington dc ibu kota negara ibu kota nusantara ibukotanegara nusantara jakarta washingtondc kaltim newyork canberra sydney,"['ibu', 'kota', 'negara', 'semakin', 'mendekati', 'statusnya', 'sebagai', 'daerah', 'khusus', 'menggantikan', 'jakarta', 'dan', 'diharapkan', 'memiliki', 'peran', 'seperti', 'new', 'york', 'kota', 'dan', 'washington', 'dc', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'nusantara', 'ibukotanegara', 'nusantara', 'jakarta', 'washingtondc', 'kaltim', 'newyork', 'canberra', 'sydney']",-6,negative,"[('semakin', 2)]","[('kota', -1), ('sebagai', -3), ('seperti', -1), ('kota', -1), ('kota', -1), ('kota', -1)]"
655,IKN Nusantara dijaga selama 24 Jam non-stop selama musim libur lebaran 2024 #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/qTlojxdwCH,IKN Nusantara dijaga selama 24 Jam non-stop selama musim libur lebaran 2024 #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/qTlojxdwCH,ikn nusantara dijaga selama  jam non-stop selama musim libur lebaran  ibu kota negara iknnusantara pindah ibu kota,ibu kota negara nusantara dijaga selama  jam non-berhenti selama musim libur lebaran  ibu kota negara ibu kota negara nusantara pindah ibu kota,"['ibu', 'kota', 'negara', 'nusantara', 'dijaga', 'selama', 'jam', 'non-berhenti', 'selama', 'musim', 'libur', 'lebaran', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'pindah', 'ibu', 'kota']",-3,negative,"[('libur', 3), ('pindah', 1)]","[('kota', -1), ('kota', -1), ('kota', -1), ('pindah', -3), ('kota', -1)]"
528,@KotaNusantara Kami warga Yogyakarta akan mengawal pembangunan IKN #IbuKotaNegara,@KotaNusantara Kami warga Yogyakarta akan mengawal pembangunan IKN #Ibu Kota Negara,kami warga yogyakarta akan mengawal pembangunan ikn ibu kota negara,kami warga yogyakarta akan mengawal pembangunan ibu kota negara ibu kota negara,"['kami', 'warga', 'yogyakarta', 'akan', 'mengawal', 'pembangunan', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara']",-2,negative,"[('mengawal', 2)]","[('mengawal', -2), ('kota', -1), ('kota', -1)]"
321,@IKNnusantaraID Kami warga Palembang mendukung pemindahan Ibu Kota negara #IKNNusantara,@IKNnusantaraID Kami warga Palembang mendukung pemindahan Ibu Kota negara #IKNNusantara,kami warga palembang mendukung pemindahan ibu kota negara iknnusantara,kami warga palembang mendukung pemindahan ibu kota negara ibu kota negara nusantara,"['kami', 'warga', 'palembang', 'mendukung', 'pemindahan', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara']",-2,negative,[],"[('kota', -1), ('kota', -1)]"
70,Alasan Agus Harimurti Yudhoyono Siap Dipindahkan ke IKN Kaltim Daftar Menteri yang Pertama Pindah #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #AHY #AgusHarimurtiYudhoyono https://t.co/kqbOheABQ2 lewat @tribunkaltim,Alasan Agus Harimurti Yudhoyono Siap Dipindahkan ke IKN Kaltim Daftar Menteri yang Pertama Pindah #IKN #IKNNusantara #Ibu Kota Negara #Ibu Kota Nusantara #Kaltim #Kalimantan Timur #AHY #Agus Harimurti Yudhoyono https://t.co/kqbOheABQ2 lewat @tribunkaltim,alasan agus harimurti yudhoyono siap dipindahkan ke ikn kaltim daftar menteri yang pertama pindah ikn iknnusantara ibu kota negara ibu kota nusantara kaltim kalimantan timur ahy agus harimurti yudhoyono lewat,alasan agus harimurti yudhoyono siap dipindahkan ke ibu kota negara kaltim daftar menteri yang pertama pindah ibu kota negara ibu kota negara nusantara ibu kota negara ibu kota nusantara kaltim kalimantan timur ahy agus harimurti yudhoyono lewat,"['alasan', 'agus', 'harimurti', 'yudhoyono', 'siap', 'dipindahkan', 'ke', 'ibu', 'kota', 'negara', 'kaltim', 'daftar', 'menteri', 'yang', 'pertama', 'pindah', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'nusantara', 'kaltim', 'kalimantan', 'timur', 'ahy', 'agus', 'harimurti', 'yudhoyono', 'lewat']",-16,negative,"[('siap', 1), ('daftar', 1), ('pindah', 1), ('lewat', 2)]","[('kota', -1), ('daftar', -3), ('yang', -5), ('pindah', -3), ('kota', -1), ('kota', -1), ('kota', -1), ('kota', -1), ('lewat', -5)]"
