Unnamed: 0,text_tweet
626,@KoalisiNetizen Peningkatan akses transportasi akan mendorong pertumbuhan sektor pariwisata #IbuKotaNegara
629,Seorang Warga negara haram Isr4el Avitan Shalom yang ditahan memiliki enam pucuk pistol dan 200 butir peluru di sebuah hotal di ibu kota Kuala Lumpur pada bulan lepas bakal didakwa atas pertuduhan Akta senjata api di Mahkamah Sesyen Kuala Lumpur hari ini. https://t.co/GATW1ffUTh
847,Menteri PUPR Basuki Hadimuljono mengungkapkan rencananya presiden terpilih 2024-2029 akan dilantik di Ibu Kota Nusantara (IKN) Kalimantan Timur. Jawaban ini menyusul status DKI Jakarta yang sudah bukan lagi berstatus ibu kota negara.⁣ #detikfinance #PrabowoSubianto #IKN https://t.co/7PEX7KHhXH
514,Ternyata masalah lahan di Ibu Kota Negara (IKN) Nusantara di Penajam Paser Utara (PPU) Kalimantan Timur (Kaltim) banyak masalah. Jaringan Advokasi ... https://t.co/akOlSlIsgW
365,Sebuah langkah besar menuju masa depan yang lebih berkesinambungan dan inklusif. Dukungan terhadap pembangunan Ibu Kota Negara (IKN) yang baru adalah bukti komitmen kita untuk membangun fondasi yang kuat bagi generasi mendatang. #IbuKotaNegaraBaru #TransformasiNegara https://t.co/sVK5SU5XoW
903,IKN semakin mendekati statusnya sebagai Daerah Khusus menggantikan Jakarta dan diharapkan memiliki peran seperti New York City dan Washington DC. #ikn #ibukotanusantara #ibukotanegara #nusantara #jakarta #washingtondc #kaltim #newyork #canberra #sydney https://t.co/fL4hjipEag
655,IKN Nusantara dijaga selama 24 Jam non-stop selama musim libur lebaran 2024 #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/qTlojxdwCH
528,@KotaNusantara Kami warga Yogyakarta akan mengawal pembangunan IKN #IbuKotaNegara
321,@IKNnusantaraID Kami warga Palembang mendukung pemindahan Ibu Kota negara #IKNNusantara
70,Alasan Agus Harimurti Yudhoyono Siap Dipindahkan ke IKN Kaltim Daftar Menteri yang Pertama Pindah #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #AHY #AgusHarimurtiYudhoyono https://t.co/kqbOheABQ2 lewat @tribunkaltim
790,@tubirfess Gue sekolah negeri gada tuh suruh hapalan surat2 pendek hapalin perkalian sama ibu kota negara nah baru iya bener 
371,@KoalisiNetizen Masyarakat Papua Antusias Menyambut Pemindahan Ibu Kota Nusantara #IbuKotaNegara
834,Kunjungan ibu negara ke kosan di kota penugasan. Agenda yg diusung beliau adalah; 1. Membantu packing barang &amp; pakaian yang harus dibawa selama cuti lebaran; 2. Memberikan nasihat &amp; dukungan finansial selama cuti lebaran; dan 3. Persatuan Indonesia 🇮🇩 #berpuasasekelurahan ‍️ https://t.co/H3ANTF2DGT
456,Pemindahan aparatur sipil negara ke Ibu Kota Nusantara di Kalimantan Timur dinilai terlalu tergesa-gesa. https://t.co/pWeLNspK8C #VideoBerita #AdadiKompas
247,Setelah upacara HUT Kemerdekaan RI di Bandara Ibu Kota Nusantara (IKN) Aparatur Sipil Negara (ASN) akan segera berpindah. Langkah ini menandai perjalanan baru dalam memperkuat Indonesia Maju. #iknnusantara #IndonesiaMaju https://t.co/H8bO3YNSSH
